isbn,title
9787508649719,从0到1 [专著] = Zero to one / (美)彼得·蒂尔，(美)布莱克·马斯特斯著 ; 高玉芳译
9787521701036,坚定不移 [专著] = Keeping at it / (美)保罗·沃尔克(Paul A. Volcker)，(美)克里斯蒂娜·哈珀(Christine Harper)著 ; 徐忠等译
9787513312066,战争之潮 [专著] : 吉安娜·普罗德摩尔 / (美)克里斯蒂·高登著 ; 江流译
9787550269255,陪你说一世晚安 [专著] / 食堂君主编
9787501592395,小王子 [专著] = The little prince / Antoine de Saint-Exupéry[著]
9787519824945,Go语言并发之道 [专著] / Katherine Cox-Buday著 ; 于畅，马鑫，赵晨光译
9787513313834,萨尔：巨龙的黄昏 [专著] / (美)克里斯蒂·高登著 ; 李镭译
9787540471323,那些我们没谈过的事 [专著] = Toutes ces choses qu’on ne s’est pas dites / (法)马克·李维(Marc Levy)著 ; 林晨洁译
9787115357618,编程珠玑 [专著] / (美)Jon Bentley著 ; 黄倩，钱丽艳译
9787513312806,沃金：部落的暗影 [专著] / (美)迈克尔·A. 斯塔克波尔著 ; 江流译
9787538761016,安娜·卡列尼娜 [专著] / (俄)列夫·托尔斯泰(Л. Н. Толстой)著 ; 草婴译
9787540471422,那片星空，那片海 [专著] = The starry night the starry sea / 桐华[著]
9787521703078,我曾走在崩溃的边缘 [专著] : 俞敏洪亲述新东方创业发展之路 / 俞敏洪著
9787508679501,滚雪球 : 巴菲特和他的财富人生. 下 [专著] : 畅销版 / (美)艾丽斯·施罗德著 ; 覃扬眉等译
9787115352118,UNIX环境高级编程 [专著] / (美)W. Richard Stevens，(美)Stephen A. Rago著 ; 戚正伟，张亚英，尤晋元译
9787540458966,那些回不去的年少时光 [专著] = A book dedicated to our youth : 新版 / 桐华作品
9787539977737,"我依然爱你，我只是不喜欢你了 [专著] = I still love you, I just don’t like you anymore. / 小岩井著"
9787115360670,"计算机程序设计艺术. 卷1, 基本算法 [专著] = The art of computer programming. Vol 1, Fundamental algorithms / (美)高德纳(Donald E. Knuth)著 ; 李伯民，范明，蒋爱军译"
9787508678788,滚雪球 : 巴菲特和他的财富人生. 上 [专著] : 畅销版 / (美)艾丽斯·施罗德著 ; 覃扬眉等译
9787115434159,代码整洁之道 [专著] : 程序员的职业素养 = The clean coder : A code of conduct for professional programmers / (美)Robert C. Martin著 ; 余晟，章显洲译
9787539982830,无声告白 [专著] = Everything i never told you / (美)伍绮诗著 ; 孙璐译
9787544446587,"约翰·塞巴斯蒂安·巴赫平均律钢琴曲集. 第一卷, BWV 846-869 [专著] = Johann Sebastian Bach Das Wohltemprierte Klavier. I, BWV 846-869 : 维也纳原始版 / 瓦尔特·登哈特(Walther Dehnhard)，德特勒夫·克劳斯(Detlef Kraus)[编订] ; 李曦微译"
9787115380357,C陷阱与缺陷 [专著] : 英文版 / (美)Andrew Koenig著
9787111526285,Go程序设计语言 [专著] = The Go programming language : 英文版 / (美)艾伦 A. A. 多诺万(Alan A. A. Donovan)，(美)布莱恩 W. 柯尼汉(Brian W. Kernighan)著
9787513314619,阿尔萨斯 [专著] : 迈向冰封王座 / (美)克里斯蒂·高登著 ; 李镭译
9787115445353,Go语言实战 [专著] = Go in action / (美)William Kennedy，(美)Brian Ketelsen，(美)Erik St. Martin著 ; 李兆海译
9787521700077,债务危机 [专著] : 我的应对原则 = A template for understanding big debt crises / (美)瑞·达利欧(Ray Dalio)著 ; 赵灿，熊建伟，刘波译 ; 崔苹苹，何杰奎林审校
9787115317957,机器学习实战 [专著] = Machine learning in action / (美)Peter Harrington著 ; 李锐[等]译
9787508653594,重新定义公司 [专著] : 谷歌是如何运营的 = How google works / (美)埃里克·施密特(Eric Schmidt)，(美)乔纳森·罗森伯格(Jonathan Rosenberg)，(美)艾伦·伊格尔(Alan Eagle)著 ; 靳婷婷译
9787121349119,Go语言核心编程 [专著] / 李文塔著
9787501592432,了不起的盖茨比 [专著] = The great Gatsby : 全英文版 / Francis Scott Fitzgerald[著]
